Sp. Def,Sp. Atk,Legendary,Generation,Total,Name,Entry,Attack,HP,Speed,Defense,Type 2,Type 1,#
30,20,False,1,300,Sandshrew,"It lives in areas of limited rainfall. When danger
approaches, it curls up into a ball to protect its
soft stomach.",75,50,40,85,,Ground,27
55,45,False,1,450,Sandslash,"Its claws and horns often break off. The broken
claws and horns can be used to carve plows for
tilling farm fields.",100,75,65,110,,Ground,28
40,40,False,1,275,Nidoran♀,"Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn.",47,55,41,52,,Poison,29
55,55,False,1,365,Nidorina,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others.",62,70,56,67,,Poison,30
85,75,False,1,505,Nidoqueen,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young.",92,90,76,87,Ground,Poison,31
40,40,False,1,273,Nidoran♂,"Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice.",57,46,50,40,,Poison,32
55,55,False,1,365,Nidorino,"Nidorino has a horn that is harder than a diamond. If it senses
a hostile presence, all the barbs on its back bristle up at once,
and it challenges the foe with all its might.",72,61,65,57,,Poison,33
75,85,False,1,505,Nidoking,"Nidoking’s thick tail packs enormously destructive power.
With one swing, it can topple a metal transmission tower. Once
this Pokémon goes on a rampage, there is no stopping it.",102,81,85,77,Ground,Poison,34
65,60,False,1,323,Clefairy,"They’re popular, but they’re rare. Trainers who
show them off recklessly may be targeted
by thieves.",45,70,35,48,,Fairy,35
90,95,False,1,483,Clefable,"It can’t help but hear a pin drop from over half
a mile away, so it lives deep in the mountains
where there aren’t many people or Pokémon.",70,95,60,73,,Fairy,36
65,50,False,1,299,Vulpix,"Its beautiful tails have made it very popular.
However, if it’s not brushed diligently, it will
be a mass of tangles before you know it.",41,38,65,40,,Fire,37
100,81,False,1,505,Ninetales,"It is vindictive and relentless by nature.
Those who cross it even once will be cursed for
a thousand years, along with their descendants.",76,73,100,75,,Fire,38
25,45,False,1,270,Jigglypuff,"Recordings of Jigglypuff’s strange lullabies can
be purchased from department stores. These
CDs can be found near the bedding area.",45,115,20,20,Fairy,Normal,39
50,85,False,1,435,Wigglytuff,"Thanks to its bouncy body and fine fur,
this Pokémon is sought after. Holding one
in your arms while you sleep feels great.",70,140,45,45,Fairy,Normal,40
40,30,False,1,245,Zubat,"It has no eyeballs, so it can’t see. It checks its
surroundings via the ultrasonic waves it emits
from its mouth.",45,40,55,35,Flying,Poison,41
75,65,False,1,455,Golbat,"Every once in a while, you’ll see a Golbat that’s
missing some fangs. This happens when hunger
drives it to try biting a Steel-type Pokémon.",80,75,90,70,Flying,Poison,42
65,75,False,1,320,Oddish,"Oddish searches for fertile, nutrient-rich soil, then plants itself.
During the daytime, while it is planted, this Pokémon’s feet
are thought to change shape and become similar to the roots
of trees.",50,45,30,55,Poison,Grass,43
75,85,False,1,395,Gloom,"From its mouth Gloom drips honey that smells absolutely
horrible. Apparently, it loves the horrid stench. It sniffs the
noxious fumes and then drools even more of its honey.",65,60,40,70,Poison,Grass,44
90,110,False,1,490,Vileplume,"Vileplume has the world’s largest petals. They are used to
attract prey that are then doused with toxic spores. Once the
prey are immobilized, this Pokémon catches and devours them.",80,75,50,85,Poison,Grass,45
55,45,False,1,285,Paras,"Whether it’s due to a lack of moisture or a lack
of nutrients, in Alola the mushrooms on Paras
don’t grow up quite right.",70,35,25,55,Grass,Bug,46
80,60,False,1,405,Parasect,"The bug is mostly dead, with the mushroom on
its back having become the main body. If the
mushroom comes off, the bug stops moving.",95,60,30,80,Grass,Bug,47
55,40,False,1,305,Venonat,"Venonat is said to have evolved with a coat of thin, stiff hair
that covers its entire body for protection. It possesses large
eyes that never fail to spot even minuscule prey.",55,60,45,50,Poison,Bug,48
75,90,False,1,450,Venomoth,"Venomoth is nocturnal—it is a Pokémon that only becomes
active at night. Its favorite prey are small insects that gather
around streetlights, attracted by the light in the darkness.",65,70,90,60,Poison,Bug,49
45,35,False,1,265,Diglett,"It travels through tunnels that it digs
underground. It hates sunlight, so it comes
out only after the sun goes down.",55,10,95,25,,Ground,50
70,50,False,1,405,Dugtrio,"While the three of them normally get along
splendidly, on rare occasions a huge fight will
break out over which head gets to eat first.",80,35,120,50,,Ground,51
40,40,False,1,290,Meowth,"When visiting a junkyard, you may catch sight
of it having an intense fight with Murkrow over
shiny objects.",45,40,90,35,,Normal,52
65,65,False,1,440,Persian,"Although the jewel on its forehead appears to
be a different color than those of Alolan
Persian, it’s mostly made of the same material.",70,65,115,60,,Normal,53
50,65,False,1,320,Psyduck,"Using psychokinesis gives it a headache, so it
normally passes the time spacing out and doing
as little as possible.",52,50,55,48,,Water,54
80,95,False,1,500,Golduck,"Even fast-swimming fish Pokémon can be
disabled by Golduck. It brings them to a
standstill and seizes them.",82,80,85,78,,Water,55
45,35,False,1,305,Mankey,"The smallest of things could cause it to lose its
temper. Because it doesn’t hold in its stress,
this Pokémon can live a long time.",80,40,70,35,,Fighting,56
70,60,False,1,455,Primeape,"It will never forgive opponents who have
angered it. Even after it has beaten them down
until they can’t move, it never ever forgives.",105,65,95,60,,Fighting,57
50,70,False,1,350,Growlithe,"While it’s quite friendly toward humans once it’s
grown used to them, in the wild it must be quite
fierce to defend its territory from Rockruff.",70,55,60,45,,Fire,58
80,100,False,1,555,Arcanine,"Legends tell of its fighting alongside a general
and conquering a whole country.",110,90,95,80,,Fire,59
40,40,False,1,300,Poliwag,"Despite the danger, it wants to come up on land.
So it does its best to waddle along, but when
an enemy finds it, it rushes back to the water.",50,40,90,40,,Water,60
50,50,False,1,385,Poliwhirl,"Although it has become capable of living on
land, it spends its time in the water, where
its prey, fish Pokémon, are plentiful.",65,65,90,65,,Water,61
90,70,False,1,510,Poliwrath,"It’s quite a gifted swimmer, even among
Water-type Pokémon, but it normally spends its
time on land.",95,90,70,95,Fighting,Water,62
55,105,False,1,310,Abra,"It uses various psychic powers even while it’s
sleeping, so you can’t tell whether or not
it’s awake.",20,25,90,15,,Psychic,63
70,120,False,1,400,Kadabra,"It stares at a silver spoon to amplify its psychic
powers before it lets loose. Apparently, gold
spoons are no good.",35,40,105,30,,Psychic,64
95,135,False,1,500,Alakazam,"Alakazam uses its psychic powers to make the
spoons it carries. Each spoon is an original that
there’s only one of in the whole world.",50,55,120,45,,Psychic,65
35,35,False,1,305,Machop,"Once this Pokémon has gained enough
confidence and muscle from training with its
friends, it challenges Makuhita to a battle.",80,70,35,50,,Fighting,66
60,50,False,1,405,Machoke,"When it encounters an enemy that’s truly
mighty, this Pokémon removes the power-save
belt from its waist and unleashes its full power.",100,80,45,70,,Fighting,67
85,65,False,1,505,Machamp,"It grasps its opponents with its four arms and
twists them up in an intricate hold. People call
it “the Machamp special.”",130,90,55,80,,Fighting,68
30,70,False,1,300,Bellsprout,"Bellsprout’s thin and flexible body lets it bend and sway
to avoid any attack, however strong it may be. From its mouth,
this Pokémon spits a corrosive fluid that melts even iron.",75,50,40,35,Poison,Grass,69
45,85,False,1,390,Weepinbell,"Weepinbell has a large hook on its rear end. At night, the
Pokémon hooks on to a tree branch and goes to sleep.
If it moves around in its sleep, it may wake up to find itself
on the ground.",90,65,55,50,Poison,Grass,70
70,100,False,1,490,Victreebel,"Victreebel has a long vine that extends from its head.
This vine is waved and flicked about as if it were an animal
to attract prey. When an unsuspecting prey draws near,
this Pokémon swallows it whole.",105,80,70,65,Poison,Grass,71
100,50,False,1,335,Tentacool,"It drifts through the sea searching for prey.
Its poisonous tentacles break off sometimes,
but after a while, they grow back.",40,40,70,35,Poison,Water,72
120,80,False,1,515,Tentacruel,"It fires off ultrasonic waves from its red orbs
to weaken its prey, and then it wraps them up
in its 80 tentacles.",70,80,100,65,Poison,Water,73
30,30,False,1,300,Geodude,"Geodude that have lived a long life have had all
their edges smoothed out until they’re totally
round. They also have a calm, quiet disposition.",80,40,20,100,Ground,Rock,74
45,45,False,1,390,Graveler,"It climbs up cliffs as it heads toward the peak
of a mountain. As soon as it reaches the summit,
it rolls back down the way it came.",95,55,35,115,Ground,Rock,75
65,55,False,1,495,Golem,"When Golem grow old, they stop shedding their
shells. Those that have lived a long, long time
have shells green with moss.",120,80,45,130,Ground,Rock,76
65,65,False,1,410,Ponyta,"Ponyta is very weak at birth. It can barely stand up.
This Pokémon becomes stronger by stumbling and
falling to keep up with its parent.",85,50,90,55,,Fire,77
80,80,False,1,500,Rapidash,"Rapidash usually can be seen casually cantering in the fields
and plains. However, when this Pokémon turns serious, its
fiery manes flare and blaze as it gallops its way up to 150 mph.",100,65,105,70,,Fire,78
40,40,False,1,315,Slowpoke,"There are some places where Slowpoke is
worshiped because of a long-standing belief
that whenever Slowpoke yawns, it rains.",65,90,15,65,Psychic,Water,79
80,100,False,1,490,Slowbro,"Spacing out is basically all it does. It turns back
into Slowpoke if its tail, along with Shellder,
breaks off.",75,95,30,110,Psychic,Water,80
55,95,False,1,325,Magnemite,"It’s frequently the cause of power outages,
which is why some power plants send out
electrical signals that it can’t stand.",35,25,45,70,Steel,Electric,81
70,120,False,1,465,Magneton,"Delicate equipment can malfunction in areas
inhabited by Magneton, which send out
mysterious electrical signals.",60,50,70,95,Steel,Electric,82
62,58,False,1,352,Farfetch'd,"Farfetch’d is always seen with a stalk from a plant of some
sort. Apparently, there are good stalks and bad stalks. This
Pokémon has been known to fight with others over stalks.",65,52,60,55,Flying,Normal,83
35,35,False,1,310,Doduo,"Doduo’s two heads contain completely identical brains. A
scientific study reported that on rare occasions, there will be
examples of this Pokémon possessing different sets of brains.",85,35,75,45,Flying,Normal,84
60,60,False,1,460,Dodrio,"Apparently, the heads aren’t the only parts of the body that
Dodrio has three of. It has three sets of hearts and lungs as
well, so it is capable of running long distances without rest.",110,60,100,70,Flying,Normal,85
70,45,False,1,325,Seel,"It has always been supposed that Seel live only
in cold seas. Their having shown up in Alola is
a mystery.",45,65,45,55,,Water,86
95,70,False,1,475,Dewgong,"It swims through the ocean at a speed of eight
knots, searching for Pokémon that will become
its prey. It’s especially fond of Wishiwashi.",70,90,70,80,Ice,Water,87
50,40,False,1,325,Grimer,"It was born from sludge on the ocean floor. In a
sterile environment, the germs within its body
can’t multiply, and it dies.",80,80,25,50,,Poison,88
100,65,False,1,500,Muk,"Their food sources have decreased, and their
numbers have declined sharply. Sludge ponds
are being built to prevent their extinction.",105,105,50,75,,Poison,89
25,45,False,1,305,Shellder,"The sand that accumulates inside its shell
eventually becomes a pearl. But the pearl gets
in the way, so it spits it out and discards it.",65,30,40,100,,Water,90
45,85,False,1,525,Cloyster,"If areas of Cloyster’s very hard shell get
damaged, those areas swell, gradually growing
into large sharp spikes.",95,50,70,180,Ice,Water,91
35,100,False,1,310,Gastly,"It’s said that gas emanating from a graveyard
was possessed by the grievances of the
deceased and thus became a Pokémon.",35,30,80,30,Poison,Ghost,92
55,115,False,1,405,Haunter,"On moonless nights, Haunter searches for
someone to curse, so it’s best not to go out
walking around.",50,45,95,45,Poison,Ghost,93
75,130,False,1,500,Gengar,"You can hear tales told all over the world about
how Gengar will pay a visit to children who
are naughty.",65,60,110,60,Poison,Ghost,94
45,30,False,1,385,Onix,"Onix has a magnet in its brain. It acts as a compass so that
this Pokémon does not lose direction while it is tunneling.
As it grows older, its body becomes increasingly rounder
and smoother.",45,35,70,160,Ground,Rock,95
90,43,False,1,328,Drowzee,"It can be spotted near recreational facilities,
intending to eat the pleasant dreams of children
who enjoyed themselves there that day.",48,60,42,45,,Psychic,96
115,73,False,1,483,Hypno,"In Alola, Komala is Hypno’s main target. It rarely
harms people.",73,85,67,70,,Psychic,97
25,25,False,1,325,Krabby,"Krabby live on beaches, burrowed inside holes dug into
the sand. On sandy beaches with little in the way of food,
these Pokémon can be seen squabbling with each other
over territory.",105,30,50,90,,Water,98
50,50,False,1,475,Kingler,"Kingler has an enormous, oversized claw. It waves this huge
claw in the air to communicate with others. However, because
the claw is so heavy, the Pokémon quickly tires.",130,55,75,115,,Water,99
55,55,False,1,330,Voltorb,"Voltorb is extremely sensitive—it explodes at the slightest
of shocks. It is rumored that it was first created when a
Poké Ball was exposed to a powerful pulse of energy.",30,40,100,50,,Electric,100
80,80,False,1,480,Electrode,"One of Electrode’s characteristics is its attraction to electricity.
It is a problematical Pokémon that congregates mostly at
electrical power plants to feed on electricity that has just
been generated.",50,60,140,70,,Electric,101
45,60,False,1,325,Exeggcute,"Six of them form a single Pokémon. Should one
of the six be lost, the next morning there will
once more be six.",40,60,40,80,Psychic,Grass,102
65,125,False,1,520,Exeggutor,"It engages its enemies using psychic powers.
Each of its three heads fires off psychokinetic
energy, tripling its power.",95,95,55,85,Psychic,Grass,103
50,40,False,1,320,Cubone,"At night, it weeps loudly for its dead mother,
but those cries only attract its natural
enemy—Mandibuzz.",50,50,35,95,,Ground,104
80,50,False,1,425,Marowak,"It throws bones at Mandibuzz to knock it down.
It’s thought that Marowak is trying to avenge
its parent.",80,60,45,110,,Ground,105
110,35,False,1,455,Hitmonlee,"Hitmonlee’s legs freely contract and stretch. Using these
springlike legs, it bowls over foes with devastating kicks.
After battle, it rubs down its legs and loosens the muscles
to overcome fatigue.",120,50,87,53,,Fighting,106
110,35,False,1,455,Hitmonchan,"Hitmonchan is said to possess the spirit of a boxer who had
been working toward a world championship. This Pokémon
has an indomitable spirit and will never give up in the face
of adversity.",105,50,76,79,,Fighting,107
75,60,False,1,385,Lickitung,"It checks out whatever’s around it by licking
everything. If you don’t clean off a spot where
it’s licked you, you’ll break out in a rash!",55,90,30,75,,Normal,108
45,60,False,1,340,Koffing,"Koffing embodies toxic substances. It mixes the toxins with raw
garbage to set off a chemical reaction that results in a terribly
powerful poison gas. The higher the temperature, the more gas
is concocted by this Pokémon.",65,40,35,95,,Poison,109
70,85,False,1,490,Weezing,"Weezing alternately shrinks and inflates its twin bodies to mix
together toxic gases inside. The more the gases are mixed,
the more powerful the toxins become. The Pokémon also
becomes more putrid.",90,65,60,120,,Poison,110
30,30,False,1,345,Rhyhorn,"Rhyhorn’s brain is very small. It is so dense, while on a run
it forgets why it started running in the first place. It apparently
remembers sometimes if it demolishes something.",85,80,25,95,Rock,Ground,111
45,45,False,1,485,Rhydon,"Rhydon has a horn that serves as a drill. It is used for
destroying rocks and boulders. This Pokémon occasionally
rams into streams of magma, but the armor-like hide prevents
it from feeling the heat.",130,105,40,120,Rock,Ground,112
105,35,False,1,450,Chansey,"It seems that other Pokémon’s efforts to take
its delicious, nutritious egg away from it caused
Chansey to get faster at fleeing.",5,250,50,5,,Normal,113
40,100,False,1,435,Tangela,"Tangela’s vines snap off easily if they are grabbed. This
happens without pain, allowing it to make a quick getaway.
The lost vines are replaced by newly grown vines the very
next day.",55,65,60,115,,Grass,114
80,40,False,1,490,Kangaskhan,"Kangaskhan protects its child by keeping it in
its pouch. It has zero forgiveness for those
who harm its child and will beat them down.",95,105,90,80,,Normal,115
25,70,False,1,295,Horsea,"If Horsea senses danger, it will reflexively spray a dense
black ink from its mouth and try to escape. This Pokémon
swims by cleverly flapping the fin on its back.",40,30,60,70,,Water,116
45,95,False,1,440,Seadra,"Seadra generates whirlpools by spinning its body.
The whirlpools are strong enough to swallow even
fishing boats. This Pokémon weakens prey with
these currents, then swallows it whole.",65,55,85,95,,Water,117
50,35,False,1,320,Goldeen,"Although known for their splendid tail fins,
Goldeen apparently compete among themselves
to see whose horn is thickest and sharpest.",67,45,63,60,,Water,118
80,65,False,1,450,Seaking,"Its horn spins like a drill to steadily hollow out
rocks—even harder ones. The coloration of the
male is more vivid.",92,80,68,65,,Water,119
55,70,False,1,340,Staryu,"In many places, there are folktales of stardust
falling into the ocean and becoming Staryu.",45,30,85,55,,Water,120
85,100,False,1,520,Starmie,"Its sparkling core is called “the gem of the sea.”
This core can be made into high-priced
accessories that are traded in secret.",75,60,115,85,Psychic,Water,121
120,100,False,1,460,Mr. Mime,"Its pantomime skills are wonderful. You may
become enraptured while watching it, but next
thing you know, Mr. Mime has made a real wall.",45,40,90,65,Fairy,Psychic,122
80,55,False,1,500,Scyther,"Its two sharp scythes are more than just
weapons. It uses them with dexterity to dress
its prey before eating.",110,70,105,80,Flying,Bug,123
95,115,False,1,455,Jynx,"It sways its hips to a rhythm all its own. The
precise movements of Jynx living in Alola are
truly wonderful.",50,65,95,35,Psychic,Ice,124
85,95,False,1,490,Electabuzz,"Electricity permeates its body. It swings
its arms round and round to charge up
electricity before unleashing a punch.",83,65,105,57,,Electric,125
85,100,False,1,495,Magmar,"Its entire body is burning. When it breathes,
the temperature rises. When it sneezes, flames
shoot out!",95,65,93,57,,Fire,126
70,55,False,1,500,Pinsir,"It gets into territorial disputes with Vikavolt.
For some reason, it apparently gets along well
with Heracross in Alola.",125,65,85,100,,Bug,127
70,40,False,1,490,Tauros,"They live in groups. The one with the longest,
thickest, and most-scarred horns is the boss
of the herd.",100,75,110,95,,Normal,128
20,15,False,1,200,Magikarp,"In the distant past, they were fairly strong, but
they have become gradually weaker over time.",10,20,80,55,,Water,129
100,60,False,1,540,Gyarados,"It fires hyper beams in all directions, burning the
surrounding area to ash. There are some regions
where it’s called “the deity of destruction.”",125,95,81,79,Flying,Water,130
95,85,False,1,535,Lapras,"It likes swimming around with people on its
back. In the Alola region, it’s an important means
of transportation over water.",85,130,60,80,Ice,Water,131
48,48,False,1,288,Ditto,"While it can transform into anything, each Ditto
apparently has its own strengths and
weaknesses when it comes to transformations.",48,48,48,48,,Normal,132
65,45,False,1,325,Eevee,"The question of why only Eevee has such
unstable genes has still not been solved.",55,55,55,50,,Normal,133
95,110,False,1,525,Vaporeon,"Clean, clear waters are its usual habitat. When
it’s about to be attacked by an invading enemy,
it dives into the water to hide.",65,130,65,60,,Water,134
95,110,False,1,525,Jolteon,"Its lungs contain an organ that creates
electricity. The crackling sound of electricity
can be heard when it exhales.",65,65,130,60,,Electric,135
110,95,False,1,525,Flareon,"If it inhales deeply, that’s a sign it’s about to
attack. Prepare to be hit by flames of over
3,000 degrees Fahrenheit!",130,65,65,60,,Fire,136
75,85,False,1,395,Porygon,"This Pokémon was created using the
cutting-edge science of 20 years ago, so
many parts of it have since become obsolete.",60,65,40,70,,Normal,137
55,90,False,1,355,Omanyte,"Omanyte lived in the seas of antiquity. Its
fossils have been found bearing bite marks from
Archeops, so apparently Archeops preyed on it.",40,35,35,100,Water,Rock,138
70,115,False,1,495,Omastar,"Its heavy shell is thought to be the reason this
ancient Pokémon died out. It’s apparently a
distant ancestor of Octillery.",60,70,55,125,Water,Rock,139
45,55,False,1,355,Kabuto,"This Pokémon thrived 300 million years ago. It’s
said that living specimens can still be seen
in a certain region—a rare sight.",80,30,55,90,Water,Rock,140
70,65,False,1,495,Kabutops,"Its body had begun to change so it could
function on land. But it didn’t adapt in time and
went extinct.",115,60,80,105,Water,Rock,141
75,60,False,1,515,Aerodactyl,"Restored from DNA found in amber, this
Pokémon exhibited ferocity that was greater
than expected. Some casualties resulted.",105,80,130,65,Flying,Rock,142
110,65,False,1,540,Snorlax,"It doesn’t do anything other than eat and sleep.
When prompted to make a serious effort,
though, it apparently displays awesome power.",110,160,30,65,,Normal,143
125,95,True,1,580,Articuno,"Articuno is a legendary bird Pokémon that can control ice.
The flapping of its wings chills the air. As a result, it is said
that when this Pokémon flies, snow will fall.",85,90,85,100,Flying,Ice,144
90,125,True,1,580,Zapdos,"Zapdos is a legendary bird Pokémon that has the ability
to control electricity. It usually lives in thunderclouds.
The Pokémon gains power if it is stricken by lightning bolts.",90,90,100,85,Flying,Electric,145
85,125,True,1,580,Moltres,"Moltres is a legendary bird Pokémon that has the ability
to control fire. If this Pokémon is injured, it is said to dip its
body in the molten magma of a volcano to burn and heal itself.",100,90,90,90,Flying,Fire,146
50,50,False,1,300,Dratini,"It’s still weak, so it lurks on the floor of bodies
of water, eating whatever food sinks down and
living a quiet life.",64,41,50,45,,Dragon,147
70,70,False,1,420,Dragonair,"Lakes where Dragonair live are filled with
offerings from people, because they believe this
Pokémon is able to control the weather.",84,61,70,65,,Dragon,148
100,100,False,1,600,Dragonite,"It flies over raging seas as if they were nothing.
Observing this, a ship’s captain dubbed this
Pokémon “the sea incarnate.”",134,91,80,95,Flying,Dragon,149
90,154,True,1,680,Mewtwo,"Mewtwo is a Pokémon that was created by genetic
manipulation. However, even though the scientific power
of humans created this Pokémon’s body, they failed to
endow Mewtwo with a compassionate heart.",110,106,130,90,,Psychic,150
100,100,False,1,600,Mew,"Mew is said to possess the genetic composition of all
Pokémon. It is capable of making itself invisible at will,
so it entirely avoids notice even if it approaches people.",100,100,100,100,,Psychic,151
65,49,False,2,318,Chikorita,"In battle, Chikorita waves its leaf around to keep the foe at
bay. However, a sweet fragrance also wafts from the leaf,
becalming the battling Pokémon and creating a cozy,
friendly atmosphere all around.",49,45,45,65,,Grass,152
80,63,False,2,405,Bayleef,"Bayleef’s neck is ringed by curled-up leaves. Inside each
tubular leaf is a small shoot of a tree. The fragrance of this
shoot makes people peppy.",62,60,60,80,,Grass,153
100,83,False,2,525,Meganium,"The fragrance of Meganium’s flower soothes and calms
emotions. In battle, this Pokémon gives off more of its
becalming scent to blunt the foe’s fighting spirit.",82,80,80,100,,Grass,154
50,60,False,2,309,Cyndaquil,"Cyndaquil protects itself by flaring up the flames on its back.
The flames are vigorous if the Pokémon is angry. However, if it
is tired, the flames splutter fitfully with incomplete combustion.",52,39,65,43,,Fire,155
65,80,False,2,405,Quilava,"Quilava keeps its foes at bay with the intensity of its flames
and gusts of superheated air. This Pokémon applies its
outstanding nimbleness to dodge attacks even while scorching
the foe with flames.",64,58,80,58,,Fire,156
85,109,False,2,534,Typhlosion,"Typhlosion obscures itself behind a shimmering heat haze that
it creates using its intensely hot flames. This Pokémon creates
blazing explosive blasts that burn everything to cinders.",84,78,100,78,,Fire,157
48,44,False,2,314,Totodile,"Despite the smallness of its body, Totodile’s jaws are very
powerful. While the Pokémon may think it is just playfully
nipping, its bite has enough power to cause serious injury.",65,50,43,64,,Water,158
63,59,False,2,405,Croconaw,"Once Croconaw has clamped its jaws on its foe, it will
absolutely not let go. Because the tips of its fangs are
forked back like barbed fishhooks, they become impossible
to remove when they have sunk in.",80,65,58,80,,Water,159
83,79,False,2,530,Feraligatr,"Feraligatr intimidates its foes by opening its huge mouth.
In battle, it will kick the ground hard with its thick and powerful
hind legs to charge at the foe at an incredible speed.",105,85,78,100,,Water,160
45,35,False,2,215,Sentret,"When Sentret sleeps, it does so while another stands guard.
The sentry wakes the others at the first sign of danger. When
this Pokémon becomes separated from its pack, it becomes
incapable of sleep due to fear.",46,35,20,34,,Normal,161
